Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Slider Control #3	Slider #2
	Frame		
	338	0.320268	
	339	0.309051	
	340	0.312348	
	341	0.370967	
	342	0.294784	
	343	0.301984	
	344	0.29706	
	345	0.23023	
	346	0.36419	
	347	0.282452	
	348	0.223322	
	349	0.368169	
	350	0.299998	
	351	0.428279	
	352	0.438123	
	353	0.284103	
	354	0.27053	
	355	0.303453	
	356	0.250746	
	357	0.275307	
	358	0.411741	
	359	0.220782	
	360	0.268174	
	361	0.27944	
	362	0.199621	
	363	0.386708	
	364	0.286177	
	365	0.206015	
	366	0.503463	
	367	0.737681	
	368	0.671628	
	369	0.679178	
	370	0.561133	
	371	0.426439	
	372	0.440948	
	373	0.378965	
	374	0.498749	
	375	0.792812	
	376	0.589384	
	377	0.444552	
	378	0.489104	
	379	0.353676	
	380	0.304074	
	381	0.466274	
	382	0.350233	
	383	0.860833	
	384	0.89952	
	385	0.597963	
	386	0.462135	
	387	0.496738	
	388	0.37176	
	389	0.297572	
	390	0.44387	
	391	0.426123	
	392	0.413547	
	393	0.563681	
	394	0.460335	
	395	0.657581	
	396	0.794692	
	397	0.684804	
	398	0.603563	
	399	0.584205	
	400	0.854994	
	401	0.855794	
	402	0.704655	
	403	0.642509	
	404	0.688221	
	405	0.673266	
	406	0.566233	
	407	0.598598	
	408	0.762815	
	409	0.674602	
	410	0.72437	
	411	0.791351	
	412	0.885665	
	413	0.916274	
	414	0.819868	
	415	0.675455	
	416	0.72602	
	417	0.914316	
	418	0.962132	
	419	0.97461	
	420	1.32024	
	421	1.31564	
	422	1.22796	
	423	1.21353	
	424	1.18659	
	425	1.18542	
	426	1.22238	
	427	1.01996	
	428	1.27727	
	429	1.38387	
	430	1.53892	
	431	1.25419	
	432	1.21193	
	433	1.22808	
	434	1.25349	
	435	1.4259	
	436	1.19415	
	437	1.36804	
	438	1.22969	
	439	1.04695	
	440	1.1491	
	441	1.21407	
	442	1.18816	
	443	1.05434	
	444	1.10656	
	445	1.7348	
	446	1.33805	
	447	1.30395	
	448	1.17332	
	449	1.00298	
	450	1.32696	
	451	1.28916	
	452	1.33732	
	453	0.97983	
	454	0.945943	
	455	0.824887	
	456	0.98564	
	457	0.985586	
	458	1.32692	
	459	0.951318	
	460	0.969653	
	461	0.968951	
	462	1.08851	
	463	1.10142	
	464	0.782219	
	465	1.15256	
	466	1.02869	
	467	1.11021	
	468	1.16149	
	469	1.46458	
	470	1.24658	
	471	1.36452	
	472	0.866005	
	473	1.43488	
	474	0.832474	
	475	0.879004	
	476	0.901593	
	477	1.81835	
	478	1.39192	
	479	1.21317	
	480	1.33111	
	481	1.55383	
	482	0.861289	
	483	1.25307	
	484	0.91111	
	485	3.43398	
	486	2.33025	
	487	1.28017	
	488	0.97953	
	489	1.04893	
	490	0.968309	
	491	0.787594	
	492	0.841107	
	493	0.844066	
	494	0.918919	
	495	0.972523	
	496	1.12168	
